county_fips_5,county_name,state_name,iecc_zone,ba_zone
01001,Autauga,Alabama,3A,Hot-Humid
01003,Baldwin,Alabama,2A,Hot-Humid
01005,Barbour,Alabama,3A,Hot-Humid
01007,Bibb,Alabama,3A,Mixed-Humid
01009,Blount,Alabama,3A,Mixed-Humid
01011,Bullock,Alabama,3A,Hot-Humid
01013,Butler,Alabama,3A,Hot-Humid
01015,Calhoun,Alabama,3A,Mixed-Humid
01017,Chambers,Alabama,3A,Mixed-Humid
01019,Cherokee,Alabama,3A,Mixed-Humid
01021,Chilton,Alabama,3A,Mixed-Humid
01023,Choctaw,Alabama,3A,Hot-Humid
01025,Clarke,Alabama,3A,Hot-Humid
01027,Clay,Alabama,3A,Mixed-Humid
01029,Cleburne,Alabama,3A,Mixed-Humid
01031,Coffee,Alabama,2A,Hot-Humid
01033,Colbert,Alabama,3A,Mixed-Humid
01035,Conecuh,Alabama,3A,Hot-Humid
01037,Coosa,Alabama,3A,Mixed-Humid
01039,Covington,Alabama,2A,Hot-Humid
01041,Crenshaw,Alabama,3A,Hot-Humid
01043,Cullman,Alabama,3A,Mixed-Humid
01045,Dale,Alabama,2A,Hot-Humid
01047,Dallas,Alabama,3A,Hot-Humid
01049,DeKalb,Alabama,3A,Mixed-Humid
01051,Elmore,Alabama,3A,Hot-Humid
01053,Escambia,Alabama,2A,Hot-Humid
01055,Etowah,Alabama,3A,Mixed-Humid
01057,Fayette,Alabama,3A,Mixed-Humid
01059,Franklin,Alabama,3A,Mixed-Humid
01061,Geneva,Alabama,2A,Hot-Humid
01063,Greene,Alabama,3A,Mixed-Humid
01065,Hale,Alabama,3A,Mixed-Humid
01067,Henry,Alabama,2A,Hot-Humid
01069,Houston,Alabama,2A,Hot-Humid
01071,Jackson,Alabama,3A,Mixed-Humid
01073,Jefferson,Alabama,3A,Mixed-Humid
01075,Lamar,Alabama,3A,Mixed-Humid
01077,Lauderdale,Alabama,3A,Mixed-Humid
01079,Lawrence,Alabama,3A,Mixed-Humid
01081,Lee,Alabama,3A,Mixed-Humid
01083,Limestone,Alabama,3A,Mixed-Humid
01085,Lowndes,Alabama,3A,Hot-Humid
01087,Macon,Alabama,3A,Hot-Humid
01089,Madison,Alabama,3A,Mixed-Humid
01091,Marengo,Alabama,3A,Hot-Humid
01093,Marion,Alabama,3A,Mixed-Humid
01095,Marshall,Alabama,3A,Mixed-Humid
01097,Mobile,Alabama,2A,Hot-Humid
01099,Monroe,Alabama,3A,Hot-Humid
01101,Montgomery,Alabama,3A,Hot-Humid
01103,Morgan,Alabama,3A,Mixed-Humid
01105,Perry,Alabama,3A,Hot-Humid
01107,Pickens,Alabama,3A,Mixed-Humid
01109,Pike,Alabama,3A,Hot-Humid
01111,Randolph,Alabama,3A,Mixed-Humid
01113,Russell,Alabama,3A,Hot-Humid
01115,St. Clair,Alabama,3A,Mixed-Humid
01117,Shelby,Alabama,3A,Mixed-Humid
01119,Sumter,Alabama,3A,Mixed-Humid
01121,Talladega,Alabama,3A,Mixed-Humid
01123,Tallapoosa,Alabama,3A,Mixed-Humid
01125,Tuscaloosa,Alabama,3A,Mixed-Humid
01127,Walker,Alabama,3A,Mixed-Humid
01129,Washington,Alabama,3A,Hot-Humid
01131,Wilcox,Alabama,3A,Hot-Humid
01133,Winston,Alabama,3A,Mixed-Humid
02013,Aleutians East,Alaska,7,Very Cold
02016,Aleutians West,Alaska,7,Very Cold
02020,Anchorage,Alaska,7,Very Cold
02050,Bethel,Alaska,7,Very Cold
02060,Bristol Bay,Alaska,7,Very Cold
02068,Denali,Alaska,8,Very Cold
02070,Dillingham,Alaska,7,Very Cold
02090,Fairbanks North Star,Alaska,8,Subarctic
02100,Haines,Alaska,6A,Cold
02105,Hoonah-Angoon,Alaska,6A,Cold
02110,Juneau,Alaska,6A,Cold
02122,Kenai Peninsula,Alaska,7,Very Cold
02130,Ketchikan Gateway,Alaska,5C,Cold
02150,Kodiak Island,Alaska,6A,Cold
02158,Kusilvak,Alaska,**********,
02164,Lake and Peninsula,Alaska,7,Very Cold
