NAME,MANUFACTURER,BRAND,USE,OPERATION,LOCATION,MULL-TYPE,PREFIX,SUFFIX,WIDTH_MM,U_VALUE_W_M2K,PSI_G_W_MK,SOURCE,DATASHEET,LINK,COMMENTS,WIDTH_IN,U_VALUE_BTU_HR_FT2_F,PSI_G_BTU_HR_FT_F,MATERIAL
Alpen | Tyrol | Door | Inswing | Head,Alpen,Tyrol,Door,Inswing,Head,,,,141.900,0.8884,0.032,,Tyrol PH - Swinging Door - Head.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/HY-xaluv86vs4Nj2cPbivQ/DhDvGuxVggyrJ_oENzMV9Eq1P72OiRMO2z4WTDfd3WShBmdEJl5Fe_qTWcjmVn0QK6OPrisPn1Rs0gFQiNY_3DfpzAw7owj2NYe3pScAHkmIdmnfMZlxN1Wj53zFx-cZo95HHUvJlsa8mqLRgQScP9amtLED3WP8Bz6Y-U2AybG24S8g-UeNy-RdLyEWYjKf/lz-sbO0E91d7gy4dtCpCwBn4wHPtqusjxIrIFV1ehEc),,,5.587,0.156,0.018,
Alpen | Tyrol | Door | Inswing | Jamb,Alpen,Tyrol,Door,Inswing,Jamb,,,,141.900,0.8884,0.032,,Tyrol PH - Swinging Door - Head.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/HY-xaluv86vs4Nj2cPbivQ/DhDvGuxVggyrJ_oENzMV9Eq1P72OiRMO2z4WTDfd3WShBmdEJl5Fe_qTWcjmVn0QK6OPrisPn1Rs0gFQiNY_3DfpzAw7owj2NYe3pScAHkmIdmnfMZlxN1Wj53zFx-cZo95HHUvJlsa8mqLRgQScP9amtLED3WP8Bz6Y-U2AybG24S8g-UeNy-RdLyEWYjKf/lz-sbO0E91d7gy4dtCpCwBn4wHPtqusjxIrIFV1ehEc),,,5.587,0.156,0.018,
Alpen | Tyrol | Door | Inswing | Sill,Alpen,Tyrol,Door,Inswing,Sill,,,,121.300,1.6900,0.032,,Tyrol PH - Swinging Door - Sill.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/IcPpHxr48NiV25djjoBvYA/JM46zeY_YEx5rxryoKMIIf9DetkKgwXk-uwP41-OFQEf3vMYsQlC8fXkuJqnKoQpvZCQ_Nynt5JUq0g8jHcx95wy1PTnugk1uDFyQog7tnsD3tlzOvd6kYcOH2EzkrraTKi-JWLTZGFNgXJmtAfkaTAGy54FUcLcTc9GebD_1Edh1-Xp4kKcRs7iQahfKXdi/4wwmBDadzff7dlhyYZclQTtEihu_46OOgNmXcCZJhhA),,,4.776,0.298,0.018,
Alpen | Tyrol | Window | Casement | Head,Alpen,Tyrol,Window,Casement,Head,,,,109.500,0.9752,0.025,,Tyrol PH - Operable - Typ.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/RAGZ3n5DCUtq3B0AaFGsfQ/2C7sKFWujRH5MdjGj78cq9B8fD6JTcdXvgr78Lv7OSBK9QkAiSz0bUXzuodQsTb6MgIBNIi5GTbjO8Qo9P84kGTfZWjPPNmE00CbrznusAsh31Kxe_zEEer9mlw1JbcFOtHjn2vxbgTzJelCxuvi5OG0UtAQW4SLYCOc2lqFldE/gH1f4NRkSkHXKD6_4EAO-4d0OOFRWpJ8ORAxlF0PsD4),,,4.311,0.172,0.014,
Alpen | Tyrol | Window | Casement | Jamb,Alpen,Tyrol,Window,Casement,Jamb,,,,109.500,0.9752,0.025,,Tyrol PH - Operable - Typ.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/RAGZ3n5DCUtq3B0AaFGsfQ/2C7sKFWujRH5MdjGj78cq9B8fD6JTcdXvgr78Lv7OSBK9QkAiSz0bUXzuodQsTb6MgIBNIi5GTbjO8Qo9P84kGTfZWjPPNmE00CbrznusAsh31Kxe_zEEer9mlw1JbcFOtHjn2vxbgTzJelCxuvi5OG0UtAQW4SLYCOc2lqFldE/gH1f4NRkSkHXKD6_4EAO-4d0OOFRWpJ8ORAxlF0PsD4),,,4.311,0.172,0.014,
Alpen | Tyrol | Window | Casement | Mull-V | OP-to-OP,Alpen,Tyrol,Window,Casement,Mull-V,OP-to-OP,,,109.950,1.2870,0.027,,Tyrol PH - Operable-to-Operable - Vertical Mullion.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/Zwwq-FwDD_HyT5i72kUxxw/E644jcI44mz4xqMjWe6fvOz-dsY6IXFFxBwtvq28NpJFE4_RL-f0cx0N6jdcuaj56whpLrKfqkxAGHD4mkIrbV8JkbpN5Gz95mlwqLdupl5xVFElvQTwKEqaS2uPw91qXHGOw8NDjLNtqZgL6Q6gc6cK6wDQmuUW1oZJjpmzOojUS-4hp4dtjyJ0jYUPyGOeWEpY5MV3knPwganlET393Q/fjQ_R8wrSijGpyUTEBff2DgtF2zj51aL_uIGDsu478I),,,4.329,0.227,0.015,
Alpen | Tyrol | Window | Casement | Sill,Alpen,Tyrol,Window,Casement,Sill,,,,109.500,0.9752,0.025,,Tyrol PH - Operable - Typ.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/RAGZ3n5DCUtq3B0AaFGsfQ/2C7sKFWujRH5MdjGj78cq9B8fD6JTcdXvgr78Lv7OSBK9QkAiSz0bUXzuodQsTb6MgIBNIi5GTbjO8Qo9P84kGTfZWjPPNmE00CbrznusAsh31Kxe_zEEer9mlw1JbcFOtHjn2vxbgTzJelCxuvi5OG0UtAQW4SLYCOc2lqFldE/gH1f4NRkSkHXKD6_4EAO-4d0OOFRWpJ8ORAxlF0PsD4),,,4.311,0.172,0.014,
Alpen | Tyrol | Window | Fixed | Head,Alpen,Tyrol,Window,Fixed,Head,,,,69.000,0.8842,0.024,,TyrolPH-Fixed-Typ.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/GLWB4HDkpNhgPf0RayJ1Mw/mGZGSb9SMZm5DMvmGleplLZ481kCbv4z7zd-K-SXTD78Vxu_02X8-D1QL9h_b7CPfnHGoE_vdQxaH4B7hb4fN6lVCoMbjXnmM6CkfhI-wHb3qZasRQBuKUvXgv82XZXEpjA7g4zSc6kJjHNZI-tc-q-olSUWI00lK7HorPsqR9g/3dGfJOZjcuvptValbhgq1GXL3QL6qxqtYue9MPZtf-A),,,2.717,0.156,0.014,
Alpen | Tyrol | Window | Fixed | Jamb,Alpen,Tyrol,Window,Fixed,Jamb,,,,69.000,0.8842,0.024,,TyrolPH-Fixed-Typ.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/GLWB4HDkpNhgPf0RayJ1Mw/mGZGSb9SMZm5DMvmGleplLZ481kCbv4z7zd-K-SXTD78Vxu_02X8-D1QL9h_b7CPfnHGoE_vdQxaH4B7hb4fN6lVCoMbjXnmM6CkfhI-wHb3qZasRQBuKUvXgv82XZXEpjA7g4zSc6kJjHNZI-tc-q-olSUWI00lK7HorPsqR9g/3dGfJOZjcuvptValbhgq1GXL3QL6qxqtYue9MPZtf-A),,,2.717,0.156,0.014,
Alpen | Tyrol | Window | Fixed | Sill,Alpen,Tyrol,Window,Fixed,Sill,,,,69.000,0.8842,0.024,,TyrolPH-Fixed-Typ.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/GLWB4HDkpNhgPf0RayJ1Mw/mGZGSb9SMZm5DMvmGleplLZ481kCbv4z7zd-K-SXTD78Vxu_02X8-D1QL9h_b7CPfnHGoE_vdQxaH4B7hb4fN6lVCoMbjXnmM6CkfhI-wHb3qZasRQBuKUvXgv82XZXEpjA7g4zSc6kJjHNZI-tc-q-olSUWI00lK7HorPsqR9g/3dGfJOZjcuvptValbhgq1GXL3QL6qxqtYue9MPZtf-A),,,2.717,0.156,0.014,
