NAME,MANUFACTURER,BRAND,SUFFIX,U_VALUE_W_M2K,G_VALUE,SOURCE,DATASHEET,LINK,COMMENTS
"Alpen | 1-3/8"" OA, SolarControl-6 TGT, Triple Pane, Argon Fill, Tempered, 3/16""",Alpen,"1-3/8"" OA, SolarControl-6 TGT, Triple Pane, Argon Fill, Tempered, 3/16""",,0.647,0.245,Manufacturer,35 Solar Control 6 TGT TG05.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/5Bmesl_MirxKjxzzAQlVUQ/Oo9WZrN7ytJvuWqKZMHpy3JMcR17DAj3hq4hVJ4BO-6EUJWllKdQTuWF__WUBQ_2c_hBdkF5JeMp2lolQCe6H4gSvSe0xG9IqGczplPRxkAvXJ22ak5yc1cEK7HtRJ0tNkquuqtBx4tlMebJbHpZdtsUrDNOMRXvi3znmFUdgJKuV6_JcQws3RqEyErtQXn_/8OlzsFj9Uq2pg01Od-rPRlNz274Sw4ZShIWPTp3lszA),,
"Alpen | SolarControl-6 TGT, Triple Pane, Argon Fill, Annealed, 1/8""",Alpen,"SolarControl-6 TGT, Triple Pane, Argon Fill, Annealed, 1/8""",,0.579,0.244,Manufacturer,41 Solarcontrol 6-TGT TG05.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/rg8417RN-QQCQJg56W_I-g/ze2oJGdqz-76UKefyqfOhXIyOjuHaery4tooDMYXZsrjjK78-eFOsWkaz_bRt-qaw_Z770ZCGHjZkoM67sRVBhQURdVBsXiD6Tnuf_44TBh6PexouY48SfRaBrJ2OVPZnt95ecPxPheFDaq6N6DQCp2tkhfnW-S5zWfGxd3F_GNJFXRIGCfd5NPo42UcxrSj/_HvvsrzPKmhtZNFgo0om6WdEx7tXGF6wMnRXvsewxKY),,
"Alpen | SolarControl-6 TGT, Triple Pane, Argon Fill, Tempered, 3/16""",Alpen,"SolarControl-6 TGT, Triple Pane, Argon Fill, Tempered, 3/16""",,0.579,0.244,Manufacturer,41 Solarcontrol 6-TGT TG05.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/wmnZD8cpjSUwiFDngp1hpw/HD1R7IZzMG3NIoC9jg72FZ8PQomXIzwBSXXUK8VaS8RzJJj1Rfh4FjbAZD8p9quMpQtjnFooN3LohLWLtGOLOiBOi3jMP24qqde2p95pKUEZcH2QfTNMpbGz3DX711wie5YbkmcJ74rtbcOuxxxy6CprA20KK4P65RF_QI2uzPO0OITCaQ8lldmz1DRl5zYa/oC0VopU_MkeneOc51-hYAetENWw2-EEvEm845TePJeI),,
DEFAULT | 1 W/m2-k,DEFAULT,1 W/m2-k,,1.000,0.500,,,,
DEFAULT | 2 W/m2-k,DEFAULT,2 W/m2-k,,2.000,1.000,,,,
Internorm | 6-18Ar-4-16Ar-4 | 3CK-IL,Internorm,6-18Ar-4-16Ar-4,3CK-IL,0.546,0.352,Manufacturer,,,
Internorm | 6t-15Ar-6t-15Ar-6t | 48Y-IL-2,Internorm,6t-15Ar-6t-15Ar-6t,48Y-IL-2,0.569,0.352,Manufacturer,,,
Internorm | 6t-18Ar-4t-16Ar-4t | 48Y-IL-1,Internorm,6t-18Ar-4t-16Ar-4t,48Y-IL-1,0.536,0.354,Manufacturer,,,
Internorm | Door Panel | P48,Internorm,Door Panel,P48,0.700,0.000,Manufacturer,,,
INTUS | 6_CG/12Ar/4/16Ar/CG_4,INTUS,6_CG/12Ar/4/16Ar/CG_4,,0.591,0.384,Manufacturer,,,
INTUS | 6T_CG/12Ar/4T/16Ar/CG_4T,INTUS,6T_CG/12Ar/4T/16Ar/CG_4T,,0.591,0.384,Manufacturer,,,
